X,Y,Name,description
-91.180371,30.4136631,1,
-91.1799348,30.4136612,2,
-91.1803081,30.4129753,3,
-91.1799523,30.4139587,4,
-91.1803654,30.4140165,5,
-91.1802826,30.4132919,6,
-91.1803685,30.4133961,7,
-91.1812616,30.413358,8,
-91.1813555,30.4136112,9,
-91.1814279,30.4136552,10,
-91.1812657,30.4136598,11,
-91.1811423,30.4136344,12,
-91.1812402,30.4140449,13,
-91.1811454,30.4140515,14,
-91.1811647,30.4143694,15,
-91.1811862,30.4147348,16,
-91.1806041,30.414758,17,
-91.1812194,30.4122929,18,
-91.1813588,30.4121564,19,
-91.1814148,30.413572,20,
-91.1813853,30.412582,21,
-91.1814067,30.4130839,22,
-91.1807355,30.4141637,23,
-91.1808803,30.4140642,24,
-91.1806523,30.4140769,25,
-91.179923,30.4129913,26,
-91.1800356,30.4126027,27,
-91.1802717,30.4126073,28,
-91.1812212,30.4125333,29,
-91.1803146,30.4122835,30,
-91.1800142,30.4123112,31,
-91.1796226,30.4123297,32,
-91.179644,30.4126073,33,
-91.1797674,30.4127831,34,
-91.1796575,30.4130075,35,
-91.1799096,30.4133683,36,
-91.179923,30.4135418,37,
-91.1797111,30.413676,39,
-91.1805909,30.4120799,40,
-91.1803226,30.4120429,41,
-91.180564,30.4115201,42,
-91.1812575,30.4122466,43,
-91.1810697,30.4120916,44,
-91.1795677,30.4120847,45,
-91.1802973,30.4115665,46,
-91.1795918,30.411585,47,
-91.1803839,30.4148482,46,
-91.1798528,30.4148714,47,
-91.1801211,30.4150032,48,
-91.1796115,30.414869,49,
-91.179303,30.414876,50,
-91.1792949,30.4148043,51,
-91.1793754,30.4146562,52,
-91.1795015,30.4142445,53,
-91.1791635,30.4144666,54,
-91.1805705,30.4109346,55,
-91.1793259,30.4110133,56,
-91.1791596,30.4110364,57,
-91.1787787,30.4112076,58,
-91.179283,30.4111521,60,
-91.1793849,30.4115823,61,
-91.1790981,30.4146625,62,
-91.1790203,30.4146764,63,
-91.1787789,30.414681,64,
-91.1790525,30.4153056,65,
-91.1788567,30.4153125,66,
-91.179526,30.4141978,67,
-91.1796145,30.4140613,68,
-91.1791129,30.4141747,69,
-91.1791022,30.4142718,70,
-91.179003,30.4142672,71,
-91.1787723,30.4142672,72,
-91.1786784,30.4142764,73,
-91.1786784,30.4144939,74,
-91.1786784,30.4148131,75,
-91.1783002,30.4148617,76,
-91.1782868,30.4145031,77,
